-4.772;-3.551;-3.498;-3.552;-6.023;-4.315;-2.888;-6.262;-5.569;-5.164
-3.396;-0.389;-3.421;-2.493;-4.189;-4.537;-4.557;-4.185;-3.445;-8.546
-4.056;-5.355;-1.346;0.635;-4.934;-4.044;-3.669;0.817;-0.636;-2.788
-3.2;-2.915;-0.99;-7.943;-5.401;-9.015;-2.823;-0.789;-6.192;-2.745
-2.574;-6.034;-5.185;-6.383;-5.883;-3.322;-2.779;-2.376;-7.034;-3.848
-4.941;-4.125;-4.109;-3.298;-1.612;-5.391;-0.622;-4.092;-6.054;-4.279
-2.812;-7.251;-5.361;-5.462;-3.884;-6.113;-2.173;-2.791;-7.564;-4.829
-2.371;-2.31;-0.359;-3.546;-2.657;-4.063;-2.876;-4.228;-0.998;-8.238
-2.917;-0.89;-1.665;-4.112;-4.852;-0.121;-3.169;-6.575;-3.896;-3.986
-2.453;-5.961;-1.383;-5.573;-3.164;-3.797;-3.142;-1.534;-2.408;-1.947
-0.415;-4.667;-4.274;-5.442; -10.269;-6.069;-6.395;-2.339;-2.839;-3.404
-4.162;-3.475;-6.423;-1.63;0.896;-4.69;-5.902;-5.283;-5.304;-2.866
